                         Chocolate Doom 3.1.0
Z_Init: Init zone memory allocation daemon. 
zone memory: 0x7a3616aa1010, 2000000 allocated for zone
Using /home/xerok/.local/share/chocolate-doom/ for configuration and saves
V_Init: allocate screens.
M_LoadDefaults: Load system defaults.
saving config in /home/xerok/.local/share/chocolate-doom/default.cfg
W_Init: Init WADfiles.
 adding freedoom-0.13.0/freedoom1.wad
===========================================================================
                           Freedoom: Phase 1
===========================================================================
 Chocolate Doom is free software, covered by the GNU General Public
 License.  There is NO warranty; not even for MERCHANTABILITY or FITNESS
 FOR A PARTICULAR PURPOSE. You are welcome to change and distribute
 copies under certain conditions. See the source for more information.
===========================================================================
I_Init: Setting up machine state.
OPL_Init: Using driver 'SDL'.
NET_Init: Init network subsystem.
M_Init: Init miscellaneous info.
R_Init: Init DOOM refresh daemon - .......................................
P_Init: Init Playloop state.
S_Init: Setting up sound.
I_SDL_PrecacheSounds: Precaching all sound effects.....................
D_CheckNetGame: Checking network game status.
startskill 2  deathmatch: 0  startmap: 1  startepisode: 1
player 1 of 1 (1 nodes)
Emulating the behavior of the 'Ultimate Doom' executable.
HU_Init: Setting up heads up display.
ST_Init: Init status bar.
When: 2026-05-20 15:11:49 Episode: 1 Map: 6
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2026-05-20 15:11:51	 188	 0	-160	0	 90.00	 -1	1 	0
2026-05-20 15:11:52	 223	 -126	-31	0	 80.16	 -7	-3 	0
2026-05-20 15:11:52	 258	 -77	-46	0	 97.03	 9	-1 	0
2026-05-20 15:11:53	 293	 47	-175	0	 101.25	 -1	2 	0
2026-05-20 15:11:54	 328	 3	106	0	 104.06	 1	-7 	0
2026-05-20 15:11:55	 363	 103	-176	0	 102.66	 2	0 	0
2026-05-20 15:11:57	 409	 -51	-80	0	 78.75	 -3	5 	0
2026-05-20 15:11:58	 444	 -174	137	0	 35.16	 1	-7 	0
When: 2026-05-20 15:11:58 Episode: 1 Map: 1
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2026-05-20 15:12:01	 510	 -311	256	0	 0.00	 1	0 	0
2026-05-20 15:12:02	 545	 -261	256	0	 0.00	 0	0 	0
2026-05-20 15:12:03	 580	 -225	254	0	 145.46	 1	-1 	0
2026-05-20 15:12:04	 615	 -204	244	0	 41.92	 -1	-1 	0
2026-05-20 15:12:05	 650	 -199	275	0	 189.49	 1	0 	0
2026-05-20 15:12:06	 692	 -193	281	0	 189.49	 -4	-1 	0
2026-05-20 15:12:07	 727	 -257	267	0	 296.72	 -1	-1 	0
2026-05-20 15:12:08	 762	 -191	208	0	 347.70	 2	-1 	0
2026-05-20 15:12:09	 797	 -87	213	0	 279.14	 0	0 	0
2026-05-20 15:12:10	 832	 -134	118	0	 203.55	 -6	-6 	0
2026-05-20 15:12:13	 929	 -142	179	0	 119.53	 -1	6 	0
2026-05-20 15:12:14	 964	 -198	302	0	 49.22	 -2	-2 	0
2026-05-20 15:12:15	 999	 -181	289	0	 61.52	 3	2 	0
2026-05-20 15:12:16	 1034	 -176	456	0	 77.34	 0	2 	0
2026-05-20 15:12:17	 1069	 -121	477	0	 342.42	 6	-2 	0
2026-05-20 15:12:18	 1123	 48	429	0	 277.38	 0	-6 	0
2026-05-20 15:12:19	 1158	 175	270	-56	 7.03	 2	-2 	1
2026-05-20 15:12:20	 1193	 367	260	-128	 335.39	 6	-2 	0
2026-05-20 15:12:21	 1228	 530	208	-128	 22.85	 -1	0 	0
2026-05-20 15:12:23	 1272	 528	216	-128	 56.25	 0	0 	0
2026-05-20 15:12:25	 1363	 510	216	-128	 26.37	 -3	-1 	0
2026-05-20 15:12:26	 1398	 517	223	-128	 28.12	 1	0 	0
2026-05-20 15:12:27	 1433	 699	313	-128	 354.73	 7	1 	0
2026-05-20 15:12:28	 1468	 840	360	-128	 110.74	 -1	-1 	0
2026-05-20 15:12:29	 1503	 826	379	-128	 161.72	 -1	0 	0
2026-05-20 15:12:30	 1538	 804	440	-128	 84.38	 0	6 	0
2026-05-20 15:12:31	 1573	 817	491	-128	 84.38	 -1	-3 	0
2026-05-20 15:12:32	 1608	 809	400	-128	 84.38	 -1	-1 	0
2026-05-20 15:12:34	 1677	 815	457	-128	 82.62	 0	4 	0
2026-05-20 15:12:35	 1712	 830	495	-128	 82.62	 0	0 	0
2026-05-20 15:12:37	 1763	 824	437	-128	 82.62	 -1	-8 	0
2026-05-20 15:12:38	 1798	 738	258	-128	 96.68	 -2	-2 	0
2026-05-20 15:12:39	 1833	 717	238	-128	 80.86	 -1	-1 	0
2026-05-20 15:12:41	 1906	 734	277	-128	 70.31	 0	1 	0
2026-05-20 15:12:43	 1997	 739	289	-128	 77.34	 -1	-1 	0
2026-05-20 15:12:45	 2053	 737	281	-128	 70.31	 -1	-1 	0
2026-05-20 15:12:46	 2106	 787	392	-128	 79.10	 0	0 	0
2026-05-20 15:12:47	 2141	 732	252	-128	 89.65	 -4	-4 	0
2026-05-20 15:12:48	 2176	 697	217	-128	 66.80	 -1	-1 	0
2026-05-20 15:12:51	 2262	 686	208	-128	 59.77	 -1	0 	0
2026-05-20 15:12:57	 2490	 800	378	-128	 61.52	 4	6 	0
2026-05-20 15:12:58	 2525	 855	495	-128	 105.47	 -1	0 	0
2026-05-20 15:13:00	 2583	 852	638	-128	 98.44	 0	1 	0
2026-05-20 15:13:01	 2618	 770	719	-128	 154.69	 -7	4 	0
2026-05-20 15:13:02	 2653	 579	746	-128	 277.73	 -2	-2 	0
2026-05-20 15:13:03	 2690	 649	682	-128	 47.81	 0	-1 	0
2026-05-20 15:13:04	 2725	 664	759	-128	 112.85	 -1	5 	0
2026-05-20 15:13:05	 2760	 602	796	-128	 235.90	 -4	-2 	0
2026-05-20 15:13:06	 2795	 645	670	-128	 358.95	 4	-3 	0
2026-05-20 15:13:07	 2830	 801	733	-128	 48.16	 5	5 	0
2026-05-20 15:13:08	 2865	 814	905	-128	 134.30	 -5	6 	0
2026-05-20 15:13:09	 2900	 713	1150	-128	 79.80	 0	7 	0
2026-05-20 15:13:10	 2935	 685	1284	-128	 151.88	 -6	3 	0
2026-05-20 15:13:12	 3010	 608	1376	-128	 187.03	 4	0 	0
2026-05-20 15:13:13	 3045	 649	1302	-128	 269.65	 -1	-7 	0
2026-05-20 15:13:14	 3080	 673	1232	-128	 155.39	 3	-1 	0
2026-05-20 15:13:15	 3115	 639	1292	-128	 83.32	 -1	5 	0
2026-05-20 15:13:16	 3150	 661	1391	-128	 56.95	 0	0 	0
2026-05-20 15:13:17	 3185	 736	1436	-128	 34.10	 5	4 	0
2026-05-20 15:13:18	 3220	 833	1444	-128	 53.44	 -4	-4 	0
