                         Chocolate Doom 3.1.0
Z_Init: Init zone memory allocation daemon. 
zone memory: 0x79eeaf20f010, 2000000 allocated for zone
Using /home/xerok/.local/share/chocolate-doom/ for configuration and saves
V_Init: allocate screens.
M_LoadDefaults: Load system defaults.
saving config in /home/xerok/.local/share/chocolate-doom/default.cfg
W_Init: Init WADfiles.
 adding freedoom-0.13.0/freedoom1.wad
===========================================================================
                           Freedoom: Phase 1
===========================================================================
 Chocolate Doom is free software, covered by the GNU General Public
 License.  There is NO warranty; not even for MERCHANTABILITY or FITNESS
 FOR A PARTICULAR PURPOSE. You are welcome to change and distribute
 copies under certain conditions. See the source for more information.
===========================================================================
I_Init: Setting up machine state.
OPL_Init: Using driver 'SDL'.
NET_Init: Init network subsystem.
M_Init: Init miscellaneous info.
R_Init: Init DOOM refresh daemon - .......................................
P_Init: Init Playloop state.
S_Init: Setting up sound.
I_SDL_PrecacheSounds: Precaching all sound effects.....................
D_CheckNetGame: Checking network game status.
startskill 2  deathmatch: 0  startmap: 1  startepisode: 1
player 1 of 1 (1 nodes)
Emulating the behavior of the 'Ultimate Doom' executable.
HU_Init: Setting up heads up display.
ST_Init: Init status bar.
When: 2026-05-20 15:24:55 Episode: 1 Map: 6
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2026-05-20 15:24:57	 188	 0	-160	0	 90.00	 -1	1 	0
2026-05-20 15:24:58	 223	 -126	-31	0	 80.16	 -7	-3 	0
2026-05-20 15:24:59	 258	 -77	-46	0	 97.03	 9	-1 	0
2026-05-20 15:25:00	 293	 47	-175	0	 101.25	 -1	2 	0
2026-05-20 15:25:01	 328	 3	106	0	 104.06	 1	-7 	0
When: 2026-05-20 15:25:01 Episode: 2 Map: 1
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2026-05-20 15:25:08	 552	 0	-28	8	 270.00	 0	-6 	0
2026-05-20 15:25:09	 587	 0	-287	0	 262.97	 0	-6 	0
2026-05-20 15:25:10	 622	 0	-344	0	 141.68	 0	-1 	0
2026-05-20 15:25:11	 657	 -133	-215	0	 157.50	 -5	3 	0
2026-05-20 15:25:12	 692	 -118	-157	0	 190.90	 6	1 	0
2026-05-20 15:25:13	 727	 149	-111	0	 173.32	 6	0 	0
2026-05-20 15:25:14	 762	 131	-118	0	 192.66	 -7	-1 	0
2026-05-20 15:25:15	 797	 -6	-143	0	 196.17	 -5	-2 	0
2026-05-20 15:25:16	 832	 -253	-214	0	 187.38	 -8	-3 	0
2026-05-20 15:25:17	 867	 -317	-268	0	 157.50	 5	-4 	0
2026-05-20 15:25:18	 902	 -211	-313	0	 162.77	 -6	1 	0
2026-05-20 15:25:19	 937	 -402	-214	0	 161.02	 -5	2 	0
2026-05-20 15:25:20	 972	 -542	-218	0	 224.30	 -7	-4 	0
2026-05-20 15:25:21	 1007	 -716	-264	-32	 340.31	 -6	2 	0
2026-05-20 15:25:22	 1042	 -804	-214	-64	 354.38	 5	-1 	0
2026-05-20 15:25:23	 1077	 -542	-241	0	 354.38	 8	-1 	0
2026-05-20 15:25:24	 1112	 -322	-247	0	 11.95	 1	0 	0
2026-05-20 15:25:25	 1147	 -229	-261	0	 349.10	 2	-1 	0
2026-05-20 15:25:26	 1182	 -200	-266	0	 3.16	 0	-1 	0
2026-05-20 15:25:30	 1327	 -31	-233	0	 10.20	 7	1 	0
2026-05-20 15:25:31	 1362	 253	-203	0	 354.38	 8	-1 	0
2026-05-20 15:25:32	 1397	 521	-224	0	 335.04	 1	0 	0
2026-05-20 15:25:33	 1432	 482	-171	0	 303.40	 -1	0 	0
2026-05-20 15:25:34	 1467	 582	-188	0	 349.10	 7	-2 	0
2026-05-20 15:25:35	 1502	 837	-240	-64	 61.17	 2	-4 	0
2026-05-20 15:25:36	 1537	 848	-318	-64	 156.09	 -1	2 	0
2026-05-20 15:25:37	 1572	 718	-178	-32	 191.25	 -8	2 	0
2026-05-20 15:25:38	 1607	 449	-208	0	 173.67	 -9	0 	0
2026-05-20 15:25:39	 1642	 161	-218	0	 193.01	 -9	-2 	0
2026-05-20 15:25:40	 1677	 -126	-232	0	 170.16	 -9	1 	0
2026-05-20 15:25:41	 1712	 -415	-209	0	 182.46	 -9	-1 	0
2026-05-20 15:25:42	 1747	 -713	-219	-32	 159.61	 -10	0 	0
2026-05-20 15:25:43	 1782	 -946	-94	-64	 48.87	 0	6 	0
2026-05-20 15:25:44	 1817	 -756	71	-64	 57.66	 6	5 	0
2026-05-20 15:25:45	 1852	 -544	253	-64	 11.95	 7	2 	0
2026-05-20 15:25:46	 1887	 -370	367	-64	 105.12	 -1	5 	0
2026-05-20 15:25:47	 1922	 -374	558	-64	 26.02	 2	5 	0
2026-05-20 15:25:48	 1957	 -369	504	-64	 270.00	 0	-5 	0
2026-05-20 15:25:49	 1992	 -369	273	-64	 296.37	 0	-4 	0
2026-05-20 15:25:50	 2027	 -282	214	-64	 336.80	 3	-3 	0
2026-05-20 15:25:51	 2062	 -104	202	-48	 24.26	 6	2 	0
2026-05-20 15:25:52	 2097	 129	207	-48	 357.89	 8	-1 	0
2026-05-20 15:25:53	 2132	 440	205	-64	 31.29	 8	1 	0
2026-05-20 15:25:54	 2167	 550	397	-64	 142.03	 -4	6 	0
2026-05-20 15:25:55	 2202	 378	559	-64	 131.48	 -3	3 	0
2026-05-20 15:25:56	 2237	 368	532	-64	 254.53	 -1	-5 	0
2026-05-20 15:25:57	 2272	 372	313	-64	 301.99	 1	-8 	0
2026-05-20 15:25:58	 2307	 563	176	-64	 354.73	 3	-1 	0
2026-05-20 15:25:59	 2342	 784	118	-64	 289.69	 4	-6 	0
2026-05-20 15:26:00	 2377	 899	-136	-64	 284.41	 2	-8 	0
2026-05-20 15:26:01	 2412	 978	-416	-64	 307.27	 3	-8 	0
2026-05-20 15:26:02	 2447	 1119	-645	-64	 287.93	 0	-4 	0
2026-05-20 15:26:03	 2482	 1079	-807	-64	 184.22	 -2	-2 	0
2026-05-20 15:26:04	 2517	 910	-812	-64	 235.20	 -2	0 	0
2026-05-20 15:26:05	 2552	 917	-803	-64	 298.48	 1	-5 	0
2026-05-20 15:26:06	 2587	 977	-935	-80	 293.20	 -1	0 	0
2026-05-20 15:26:07	 2622	 920	-836	-64	 245.74	 -2	-4 	0
2026-05-20 15:26:08	 2657	 758	-1001	-80	 214.10	 -7	-5 	0
2026-05-20 15:26:09	 2692	 509	-1177	-128	 236.95	 -6	-5 	0
2026-05-20 15:26:10	 2727	 470	-1378	-128	 282.66	 1	-7 	0
2026-05-20 15:26:11	 2762	 483	-1584	-128	 207.07	 -4	-1 	0
2026-05-20 15:26:12	 2797	 418	-1588	-128	 173.67	 -2	0 	0
2026-05-20 15:26:13	 2832	 346	-1559	-128	 152.58	 3	-2 	0
2026-05-20 15:26:14	 2867	 416	-1487	-128	 29.53	 3	5 	0
2026-05-20 15:26:15	 2902	 621	-1498	-128	 266.48	 3	-7 	0
2026-05-20 15:26:16	 2937	 554	-1539	-128	 176.84	 -7	-1 	0
2026-05-20 15:26:17	 2972	 459	-1486	-128	 92.46	 -1	3 	0
2026-05-20 15:26:18	 3007	 409	-1534	-128	 53.79	 -3	-5 	0
