                         Chocolate Doom 3.1.0
Z_Init: Init zone memory allocation daemon. 
zone memory: 0x734956d20010, 2000000 allocated for zone
Using /home/xerok/.local/share/chocolate-doom/ for configuration and saves
V_Init: allocate screens.
M_LoadDefaults: Load system defaults.
saving config in /home/xerok/.local/share/chocolate-doom/default.cfg
W_Init: Init WADfiles.
 adding freedoom-0.13.0/freedoom1.wad
===========================================================================
                           Freedoom: Phase 1
===========================================================================
 Chocolate Doom is free software, covered by the GNU General Public
 License.  There is NO warranty; not even for MERCHANTABILITY or FITNESS
 FOR A PARTICULAR PURPOSE. You are welcome to change and distribute
 copies under certain conditions. See the source for more information.
===========================================================================
I_Init: Setting up machine state.
OPL_Init: Using driver 'SDL'.
NET_Init: Init network subsystem.
M_Init: Init miscellaneous info.
R_Init: Init DOOM refresh daemon - .......................................
P_Init: Init Playloop state.
S_Init: Setting up sound.
I_SDL_PrecacheSounds: Precaching all sound effects.....................
D_CheckNetGame: Checking network game status.
startskill 2  deathmatch: 0  startmap: 1  startepisode: 1
player 1 of 1 (1 nodes)
Emulating the behavior of the 'Ultimate Doom' executable.
HU_Init: Setting up heads up display.
ST_Init: Init status bar.
When: 2026-05-20 15:37:19 Episode: 1 Map: 6
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2026-05-20 15:37:21	 188	 0	-160	0	 90.00	 -1	1 	0
2026-05-20 15:37:22	 223	 -126	-31	0	 80.16	 -7	-3 	0
When: 2026-05-20 15:37:23 Episode: 3 Map: 1
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2026-05-20 15:37:24	 267	 101	-225	32	 180.00	 -4	-1 	0
2026-05-20 15:37:25	 302	 -136	-199	32	 121.99	 -6	2 	0
2026-05-20 15:37:26	 337	 -208	-102	32	 100.90	 -2	6 	0
2026-05-20 15:37:27	 372	 -237	37	8	 11.25	 -1	0 	0
2026-05-20 15:37:28	 407	 -154	72	8	 28.83	 5	2 	0
2026-05-20 15:37:29	 442	 -83	143	8	 37.62	 -2	-2 	0
2026-05-20 15:37:30	 477	 -116	130	8	 160.66	 -4	1 	0
2026-05-20 15:37:31	 512	 -212	163	8	 209.88	 -1	0 	0
2026-05-20 15:37:32	 547	 -172	221	8	 225.70	 0	0 	0
2026-05-20 15:37:33	 582	 -184	207	8	 230.98	 -1	-1 	0
2026-05-20 15:37:34	 617	 -171	222	8	 230.98	 0	0 	0
2026-05-20 15:37:36	 674	 -226	160	8	 220.43	 -2	-2 	0
2026-05-20 15:37:37	 709	 -428	84	0	 199.34	 -9	-2 	0
2026-05-20 15:37:38	 744	 -549	2	8	 310.08	 1	-6 	0
2026-05-20 15:37:39	 779	 -358	-53	8	 73.12	 5	4 	0
2026-05-20 15:37:40	 814	 -270	191	8	 76.64	 1	6 	0
2026-05-20 15:37:41	 849	 -274	435	80	 97.73	 -1	3 	0
2026-05-20 15:37:42	 884	 -281	593	112	 46.76	 2	5 	0
