                         Chocolate Doom 3.1.0
Z_Init: Init zone memory allocation daemon. 
zone memory: 0x729e8971e010, 2000000 allocated for zone
Using /home/xerok/.local/share/chocolate-doom/ for configuration and saves
V_Init: allocate screens.
M_LoadDefaults: Load system defaults.
saving config in /home/xerok/.local/share/chocolate-doom/default.cfg
W_Init: Init WADfiles.
 adding freedoom-0.13.0/freedoom1.wad
===========================================================================
                           Freedoom: Phase 1
===========================================================================
 Chocolate Doom is free software, covered by the GNU General Public
 License.  There is NO warranty; not even for MERCHANTABILITY or FITNESS
 FOR A PARTICULAR PURPOSE. You are welcome to change and distribute
 copies under certain conditions. See the source for more information.
===========================================================================
I_Init: Setting up machine state.
OPL_Init: Using driver 'SDL'.
NET_Init: Init network subsystem.
M_Init: Init miscellaneous info.
R_Init: Init DOOM refresh daemon - .......................................
P_Init: Init Playloop state.
S_Init: Setting up sound.
I_SDL_PrecacheSounds: Precaching all sound effects.....................
D_CheckNetGame: Checking network game status.
startskill 2  deathmatch: 0  startmap: 1  startepisode: 1
player 1 of 1 (1 nodes)
Emulating the behavior of the 'Ultimate Doom' executable.
HU_Init: Setting up heads up display.
ST_Init: Init status bar.
When: 2026-05-20 19:55:57 Episode: 1 Map: 6
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2026-05-20 19:55:59	 188	 0	-160	0	 90.00	 -1	1 	0
2026-05-20 19:56:00	 223	 -126	-31	0	 80.16	 -7	-3 	0
2026-05-20 19:56:01	 258	 -77	-46	0	 97.03	 9	-1 	0
2026-05-20 19:56:02	 293	 47	-175	0	 101.25	 -1	2 	0
2026-05-20 19:56:03	 328	 3	106	0	 104.06	 1	-7 	0
2026-05-20 19:56:04	 363	 103	-176	0	 102.66	 2	0 	0
2026-05-20 19:56:05	 409	 -51	-80	0	 78.75	 -3	5 	0
2026-05-20 19:56:06	 444	 -174	137	0	 35.16	 1	-7 	0
2026-05-20 19:56:07	 479	 -17	97	0	 97.03	 2	-5 	0
When: 2026-05-20 19:56:08 Episode: 4 Map: 1
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2026-05-20 19:56:11	 557	 -746	-452	0	 178.51	 1	0 	0
2026-05-20 19:56:26	 1080	 -741	-439	0	 340.40	 -2	0 	0
2026-05-20 19:56:27	 1115	 -758	-433	0	 248.29	 0	0 	0
2026-05-20 19:56:28	 1151	 -729	-433	0	 248.64	 0	0 	0
2026-05-20 19:56:29	 1189	 -724	-434	0	 216.21	 0	0 	0
2026-05-20 19:56:30	 1224	 -711	-437	0	 239.77	 0	0 	0
2026-05-20 19:56:33	 1319	 -700	-568	0	 299.53	 0	-6 	0
2026-05-20 19:56:34	 1355	 -611	-565	0	 30.94	 6	3 	0
2026-05-20 19:56:35	 1390	 -477	-488	0	 322.38	 3	-2 	0
2026-05-20 19:56:36	 1425	 -425	-538	4	 332.93	 0	-1 	0
2026-05-20 19:56:38	 1496	 -528	-562	0	 141.33	 -7	1 	0
2026-05-20 19:56:39	 1531	 -785	-512	0	 218.67	 -8	-3 	0
2026-05-20 19:56:40	 1566	 -848	-608	0	 201.09	 0	-2 	0
2026-05-20 19:56:41	 1601	 -848	-634	0	 197.58	 0	-1 	0
2026-05-20 19:56:44	 1692	 -773	-713	-5	 324.14	 3	-4 	0
2026-05-20 19:56:45	 1727	 -789	-712	-64	 329.41	 -6	3 	0
2026-05-20 19:56:47	 1807	 -796	-768	-64	 283.71	 1	-1 	0
2026-05-20 19:56:48	 1842	 -754	-848	0	 276.68	 0	-1 	0
2026-05-20 19:56:49	 1877	 -661	-848	0	 13.36	 6	0 	0
2026-05-20 19:56:50	 1912	 -435	-712	0	 15.12	 6	4 	0
2026-05-20 19:56:51	 1947	 -294	-691	0	 308.32	 0	-1 	0
2026-05-20 19:56:52	 1982	 -313	-799	0	 248.55	 -3	-8 	0
2026-05-20 19:56:53	 2017	 -330	-901	0	 255.59	 2	5 	0
2026-05-20 19:56:54	 2052	 -299	-796	0	 257.34	 0	0 	0
2026-05-20 19:56:55	 2087	 -334	-953	0	 257.34	 -2	-8 	0
2026-05-20 19:56:56	 2122	 -374	-1116	0	 171.21	 -3	-1 	0
2026-05-20 19:56:57	 2157	 -533	-1038	0	 85.08	 -2	1 	0
2026-05-20 19:56:58	 2192	 -463	-1010	0	 0.70	 7	0 	0
2026-05-20 19:56:59	 2227	 -304	-1004	0	 7.73	 0	0 	0
2026-05-20 19:57:01	 2306	 -274	-1003	0	 348.40	 4	-1 	0
2026-05-20 19:57:02	 2341	 -210	-1010	0	 348.40	 4	-1 	0
2026-05-20 19:57:03	 2376	 31	-997	0	 71.02	 5	4 	0
2026-05-20 19:57:04	 2411	 45	-750	0	 143.09	 -4	6 	0
2026-05-20 19:57:05	 2446	 -177	-714	0	 236.25	 -6	-5 	0
2026-05-20 19:57:06	 2481	 -356	-932	0	 227.46	 -6	-7 	0
2026-05-20 19:57:07	 2516	 -591	-1024	0	 137.81	 -7	3 	0
2026-05-20 19:57:08	 2551	 -849	-923	0	 183.52	 -9	0 	0
2026-05-20 19:57:09	 2586	 -1004	-921	0	 104.41	 -1	0 	0
2026-05-20 19:57:10	 2621	 -1010	-867	0	 85.08	 0	5 	0
2026-05-20 19:57:11	 2656	 -967	-643	0	 69.26	 2	6 	0
2026-05-20 19:57:12	 2691	 -952	-370	0	 65.74	 0	6 	0
2026-05-20 19:57:13	 2726	 -929	-300	0	 2.46	 4	0 	0
2026-05-20 19:57:14	 2761	 -673	-285	0	 2.46	 8	0 	0
2026-05-20 19:57:15	 2796	 -384	-263	0	 346.64	 8	-1 	0
2026-05-20 19:57:16	 2831	 -253	-280	0	 0.70	 0	-1 	0
2026-05-20 19:57:17	 2866	 -210	-272	0	 5.98	 0	0 	0
2026-05-20 19:57:19	 2932	 -155	-186	0	 56.95	 1	3 	0
2026-05-20 19:57:20	 2967	 -114	-170	0	 306.21	 3	-4 	0
2026-05-20 19:57:21	 3002	 -6	-398	0	 286.88	 2	-8 	0
2026-05-20 19:57:22	 3037	 116	-543	0	 44.65	 5	2 	0
2026-05-20 19:57:23	 3072	 310	-415	0	 353.67	 5	0 	0
2026-05-20 19:57:24	 3107	 380	-483	0	 339.61	 3	-4 	0
2026-05-20 19:57:25	 3142	 462	-441	0	 78.05	 2	5 	0
2026-05-20 19:57:26	 3177	 483	-388	0	 78.05	 0	0 	0
2026-05-20 19:57:28	 3236	 469	-325	8	 125.51	 -4	4 	0
2026-05-20 19:57:29	 3271	 411	-122	8	 62.23	 0	7 	0
2026-05-20 19:57:30	 3306	 437	146	8	 116.72	 -3	7 	0
2026-05-20 19:57:31	 3341	 405	316	8	 32.34	 2	2 	0
2026-05-20 19:57:32	 3376	 580	334	8	 341.37	 7	-1 	0
2026-05-20 19:57:33	 3411	 611	302	8	 225.35	 -4	-4 	0
2026-05-20 19:57:34	 3446	 513	197	8	 256.99	 -1	-1 	0
2026-05-20 19:57:36	 3537	 506	148	8	 262.27	 -1	-6 	0
2026-05-20 19:57:37	 3572	 507	-105	8	 288.63	 2	-6 	0
2026-05-20 19:57:38	 3607	 531	-160	8	 165.59	 0	-1 	0
2026-05-20 19:57:39	 3642	 383	-26	8	 156.80	 -5	4 	0
2026-05-20 19:57:40	 3677	 329	-52	8	 253.48	 -2	-6 	0
2026-05-20 19:57:41	 3712	 288	-178	8	 179.65	 -1	0 	0
2026-05-20 19:57:42	 3747	 228	-262	3	 170.86	 -6	-3 	0
2026-05-20 19:57:43	 3782	 80	-246	0	 130.43	 0	0 	0
2026-05-20 19:57:44	 3817	 112	-96	0	 72.42	 2	7 	0
2026-05-20 19:57:47	 3907	 210	-50	0	 339.26	 4	-3 	0
2026-05-20 19:57:48	 3942	 438	-130	8	 9.14	 6	-1 	0
2026-05-20 19:57:49	 3977	 710	-150	8	 26.72	 7	1 	0
2026-05-20 19:57:50	 4012	 970	-73	8	 53.09	 4	2 	0
2026-05-20 19:57:51	 4047	 1023	41	8	 84.73	 0	1 	0
2026-05-20 19:57:52	 4082	 1026	50	8	 91.76	 0	-1 	0
2026-05-20 19:57:53	 4129	 1033	-108	8	 95.27	 -2	-4 	0
2026-05-20 19:57:54	 4164	 959	-52	8	 88.24	 -1	7 	0
2026-05-20 19:57:55	 4199	 995	158	40	 81.21	 1	7 	0
2026-05-20 19:57:56	 4234	 1080	317	48	 9.14	 6	1 	0
2026-05-20 19:57:57	 4269	 1332	267	48	 302.34	 5	-6 	0
2026-05-20 19:57:58	 4304	 1397	241	72	 254.88	 0	0 	0
2026-05-20 19:57:59	 4340	 1378	159	80	 254.88	 -2	-5 	0
2026-05-20 19:58:00	 4375	 1370	136	80	 261.91	 0	4 	0
2026-05-20 19:58:01	 4410	 1387	234	72	 261.91	 -1	-5 	0
2026-05-20 19:58:02	 4445	 1379	-20	80	 267.19	 -1	-9 	0
2026-05-20 19:58:03	 4485	 1391	-240	80	 356.84	 3	-1 	0
2026-05-20 19:58:04	 4520	 1425	-203	80	 105.82	 -1	5 	0
2026-05-20 19:58:05	 4555	 1378	41	80	 54.84	 -1	4 	0
2026-05-20 19:58:06	 4590	 1483	63	80	 323.44	 4	-2 	0
2026-05-20 19:58:07	 4625	 1509	50	80	 30.23	 0	-1 	0
2026-05-20 19:58:10	 4701	 1526	78	80	 40.78	 4	3 	0
2026-05-20 19:58:11	 4736	 1698	280	80	 61.88	 4	6 	0
2026-05-20 19:58:12	 4771	 1710	362	80	 181.41	 -1	0 	0
2026-05-20 19:58:13	 4806	 1666	249	80	 293.91	 0	-8 	0
2026-05-20 19:58:14	 4841	 1711	22	80	 234.14	 0	-3 	0
2026-05-20 19:58:15	 4876	 1689	-32	80	 234.14	 -4	-5 	0
2026-05-20 19:58:16	 4911	 1608	-239	80	 288.63	 1	-8 	0
2026-05-20 19:58:17	 4946	 1644	-419	80	 191.95	 0	-2 	0
2026-05-20 19:58:18	 4981	 1552	-379	80	 68.91	 0	1 	0
2026-05-20 19:58:19	 5016	 1637	-252	80	 339.26	 0	1 	0
2026-05-20 19:58:20	 5051	 1725	-383	80	 312.89	 3	-6 	0
2026-05-20 19:58:21	 5086	 1824	-398	80	 30.23	 6	3 	0
2026-05-20 19:58:22	 5121	 2000	-230	80	 86.48	 1	2 	0
2026-05-20 19:58:23	 5156	 2016	-204	80	 151.52	 -2	1 	0
2026-05-20 19:58:24	 5191	 1965	-170	80	 98.79	 -1	0 	0
2026-05-20 19:58:25	 5226	 1947	-69	80	 98.79	 -1	0 	0
2026-05-20 19:58:27	 5294	 1904	107	72	 130.43	 -5	6 	0
2026-05-20 19:58:28	 5329	 1865	249	72	 9.14	 0	0 	0
2026-05-20 19:58:29	 5364	 2007	191	72	 341.02	 4	-2 	0
2026-05-20 19:58:30	 5399	 1976	193	72	 348.05	 2	-1 	0
2026-05-20 19:58:31	 5434	 2106	180	72	 3.87	 2	0 	0
2026-05-20 19:58:32	 5469	 2264	193	72	 2.11	 6	0 	0
2026-05-20 19:58:33	 5504	 2365	199	72	 342.77	 0	0 	0
2026-05-20 19:58:34	 5551	 2425	159	72	 328.71	 5	-4 	0
2026-05-20 19:58:35	 5586	 2599	82	72	 272.46	 1	-1 	0
2026-05-20 19:58:36	 5621	 2540	51	72	 202.15	 -7	-3 	0
2026-05-20 19:58:37	 5656	 2440	-51	72	 116.02	 3	-5 	0
2026-05-20 19:58:38	 5691	 2478	-103	72	 112.50	 -2	2 	0
2026-05-20 19:58:39	 5726	 2370	90	72	 177.54	 -3	3 	0
2026-05-20 19:58:40	 5761	 2296	17	72	 260.16	 -3	-8 	0
2026-05-20 19:58:41	 5796	 2298	-232	72	 281.25	 0	-5 	10
2026-05-20 19:58:42	 5831	 2256	-304	72	 342.77	 0	0 	10
2026-05-20 19:58:43	 5866	 2303	-316	72	 356.84	 0	-1 	10
2026-05-20 19:58:44	 5901	 2279	-328	116	 16.17	 -1	-1 	10
2026-05-20 19:58:45	 5936	 2327	-320	200	 28.48	 2	0 	10
2026-05-20 19:58:46	 5971	 2350	-313	200	 63.63	 0	0 	10
2026-05-20 19:58:47	 6013	 2531	-288	200	 351.56	 7	-1 	0
2026-05-20 19:58:48	 6048	 2705	-307	200	 344.53	 0	-1 	0
2026-05-20 19:58:49	 6095	 2727	-296	200	 46.05	 3	3 	0
2026-05-20 19:58:50	 6130	 2782	-126	200	 107.58	 -2	7 	0
2026-05-20 19:58:51	 6165	 2722	90	200	 84.73	 -1	-2 	0
2026-05-20 19:58:52	 6200	 2831	114	200	 321.68	 0	0 	0
2026-05-20 19:58:54	 6256	 2805	119	200	 353.32	 0	-1 	0
2026-05-20 19:58:55	 6298	 2831	50	200	 267.19	 -1	-7 	0
2026-05-20 19:58:56	 6333	 2820	-193	200	 293.55	 -1	-4 	0
2026-05-20 19:58:57	 6368	 2852	-235	200	 342.77	 0	-1 	0
2026-05-20 19:58:58	 6403	 2875	-238	200	 5.62	 0	-1 	0
2026-05-20 19:58:59	 6438	 2949	-205	192	 67.15	 5	4 	0
2026-05-20 19:59:00	 6473	 3028	-19	192	 31.99	 4	6 	0
2026-05-20 19:59:01	 6508	 3199	92	192	 316.41	 1	0 	0
2026-05-20 19:59:02	 6543	 3202	-45	192	 230.27	 -2	-6 	0
2026-05-20 19:59:03	 6578	 3184	-98	192	 258.40	 -1	-1 	0
2026-05-20 19:59:04	 6613	 3163	-181	192	 270.70	 -1	3 	0
2026-05-20 19:59:05	 6648	 3159	-48	192	 314.65	 -1	0 	0
2026-05-20 19:59:06	 6683	 3197	-1	192	 77.70	 3	5 	0
2026-05-20 19:59:07	 6718	 3247	221	192	 40.78	 0	2 	0
2026-05-20 19:59:08	 6753	 3360	190	192	 314.65	 4	-5 	0
2026-05-20 19:59:09	 6788	 3389	47	192	 277.73	 -1	-2 	0
2026-05-20 19:59:10	 6823	 3384	27	192	 333.98	 -1	-1 	0
2026-05-20 19:59:12	 6876	 3578	-15	184	 0.35	 8	0 	0
2026-05-20 19:59:13	 6911	 3775	-165	192	 298.83	 4	-7 	0
2026-05-20 19:59:14	 6946	 3807	-257	192	 330.47	 -1	0 	0
2026-05-20 19:59:15	 6981	 3832	-242	192	 23.20	 4	2 	0
2026-05-20 19:59:18	 7090	 3855	-220	192	 193.36	 0	0 	0
2026-05-20 19:59:20	 7151	 3734	-210	192	 174.02	 -1	0 	0
2026-05-20 19:59:21	 7208	 3714	-208	192	 179.30	 -3	0 	0
2026-05-20 19:59:23	 7271	 3696	-208	192	 182.81	 -1	-1 	0
2026-05-20 19:59:25	 7354	 3696	-208	192	 17.58	 0	0 	0
2026-05-20 19:59:26	 7389	 3855	-197	192	 305.51	 0	-1 	0
2026-05-20 19:59:28	 7442	 3844	-272	192	 212.34	 -3	-1 	0
2026-05-20 19:59:29	 7477	 3777	-272	192	 161.37	 -1	0 	0
2026-05-20 19:59:30	 7512	 3696	-188	192	 117.42	 -1	3 	0
2026-05-20 19:59:31	 7547	 3649	-25	184	 184.22	 -8	1 	0
2026-05-20 19:59:32	 7582	 3649	-52	184	 184.22	 -9	-1 	0
2026-05-20 19:59:33	 7617	 3491	-70	184	 177.19	 -9	0 	0
2026-05-20 19:59:34	 7652	 3203	-45	192	 136.76	 -8	3 	0
2026-05-20 19:59:35	 7687	 2987	124	192	 84.02	 -3	5 	0
2026-05-20 19:59:36	 7722	 3045	209	192	 335.04	 6	-2 	0
2026-05-20 19:59:37	 7757	 3257	96	192	 322.73	 2	-2 	0
2026-05-20 19:59:38	 7792	 3301	85	192	 199.92	 0	-1 	0
When: 2026-05-20 19:59:46 Episode: 4 Map: 1
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2026-05-20 19:59:49	 8145	 -691	-486	0	 242.23	 -2	-3 	0
2026-05-20 19:59:50	 8180	 -802	-630	0	 273.87	 -2	-2 	0
2026-05-20 19:59:51	 8215	 -840	-630	0	 356.48	 -3	1 	0
2026-05-20 19:59:52	 8250	 -709	-517	0	 12.30	 6	3 	0
2026-05-20 19:59:53	 8285	 -504	-582	0	 316.05	 6	-6 	0
2026-05-20 19:59:54	 8320	 -433	-683	0	 356.48	 0	-1 	0
2026-05-20 19:59:55	 8355	 -433	-682	0	 347.70	 0	-1 	0
2026-05-20 19:59:56	 8390	 -391	-719	4	 263.32	 0	-1 	0
2026-05-20 19:59:57	 8425	 -470	-728	0	 171.91	 -8	0 	0
2026-05-20 19:59:58	 8460	 -665	-719	0	 191.25	 -5	-1 	0
2026-05-20 19:59:59	 8495	 -750	-732	-64	 193.01	 -2	-1 	0
2026-05-20 20:00:00	 8530	 -798	-768	-64	 277.38	 0	-1 	0
2026-05-20 20:00:01	 8565	 -735	-843	0	 333.63	 4	-5 	0
2026-05-20 20:00:02	 8600	 -562	-766	0	 63.28	 4	6 	0
2026-05-20 20:00:03	 8635	 -466	-673	0	 331.88	 4	-3 	0
2026-05-20 20:00:04	 8670	 -288	-755	0	 358.24	 1	-1 	0
2026-05-20 20:00:07	 8776	 -271	-761	0	 7.03	 2	0 	0
2026-05-20 20:00:08	 8811	 -58	-735	0	 7.03	 7	0 	0
2026-05-20 20:00:09	 8846	 115	-715	0	 284.41	 0	0 	0
2026-05-20 20:00:10	 8881	 26	-809	0	 194.77	 -6	-4 	0
2026-05-20 20:00:11	 8916	 10	-838	0	 187.73	 5	0 	0
2026-05-20 20:00:12	 8951	 -51	-847	0	 187.73	 -8	-1 	0
2026-05-20 20:00:13	 8986	 -315	-918	0	 252.77	 -6	-6 	0
2026-05-20 20:00:14	 9021	 -526	-1061	0	 140.27	 -8	1 	0
2026-05-20 20:00:15	 9056	 -623	-1022	0	 40.08	 1	1 	0
2026-05-20 20:00:16	 9091	 -412	-996	0	 350.86	 7	-1 	0
2026-05-20 20:00:17	 9126	 -133	-965	0	 29.53	 7	3 	0
